Event Type,Button/Key,Action,Position,Timestamp
Mouse,(Move),Moved,(748, 493),2025-03-26 02:30:46
Mouse,(Move),Moved,(748, 494),2025-03-26 02:30:46
Mouse,(Move),Moved,(747, 494),2025-03-26 02:30:46
Mouse,(Move),Moved,(738, 495),2025-03-26 02:30:46
Mouse,(Move),Moved,(726, 495),2025-03-26 02:30:46
Mouse,(Move),Moved,(713, 495),2025-03-26 02:30:46
Mouse,(Move),Moved,(684, 493),2025-03-26 02:30:46
Mouse,(Move),Moved,(656, 486),2025-03-26 02:30:46
Mouse,(Move),Moved,(627, 481),2025-03-26 02:30:46
Mouse,(Move),Moved,(600, 474),2025-03-26 02:30:46
Mouse,(Move),Moved,(584, 470),2025-03-26 02:30:46
Mouse,(Move),Moved,(573, 467),2025-03-26 02:30:46
Mouse,(Move),Moved,(550, 461),2025-03-26 02:30:46
Mouse,(Move),Moved,(529, 455),2025-03-26 02:30:46
Mouse,(Move),Moved,(519, 453),2025-03-26 02:30:46
Mouse,(Move),Moved,(509, 450),2025-03-26 02:30:46
Mouse,(Move),Moved,(498, 448),2025-03-26 02:30:46
Mouse,(Move),Moved,(481, 443),2025-03-26 02:30:46
Mouse,(Move),Moved,(474, 440),2025-03-26 02:30:46
Mouse,(Move),Moved,(465, 438),2025-03-26 02:30:46
Mouse,(Move),Moved,(449, 433),2025-03-26 02:30:46
Mouse,(Move),Moved,(440, 429),2025-03-26 02:30:46
Mouse,(Move),Moved,(422, 423),2025-03-26 02:30:46
Mouse,(Move),Moved,(404, 414),2025-03-26 02:30:46
Mouse,(Move),Moved,(397, 409),2025-03-26 02:30:46
Mouse,(Move),Moved,(386, 403),2025-03-26 02:30:46
Mouse,(Move),Moved,(368, 393),2025-03-26 02:30:46
Mouse,(Move),Moved,(351, 380),2025-03-26 02:30:46
Mouse,(Move),Moved,(345, 375),2025-03-26 02:30:46
Mouse,(Move),Moved,(339, 369),2025-03-26 02:30:46
Mouse,(Move),Moved,(330, 361),2025-03-26 02:30:47
Mouse,(Move),Moved,(327, 357),2025-03-26 02:30:47
Mouse,(Move),Moved,(323, 353),2025-03-26 02:30:47
Mouse,(Move),Moved,(320, 348),2025-03-26 02:30:47
Mouse,(Move),Moved,(317, 344),2025-03-26 02:30:47
Mouse,(Move),Moved,(315, 341),2025-03-26 02:30:47
Mouse,(Move),Moved,(317, 343),2025-03-26 02:30:47
Mouse,(Move),Moved,(320, 347),2025-03-26 02:30:47
Mouse,(Move),Moved,(312, 343),2025-03-26 02:30:47
Mouse,(Move),Moved,(302, 337),2025-03-26 02:30:47
Mouse,(Move),Moved,(291, 331),2025-03-26 02:30:47
